Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,12739,76,,2019-01,0.0,,0.0,Alabama,United States,,0.005965931391788994,,0.0
1,2020,12251,50,,2020-01,-0.03830755946306619,,-0.3421052631578947,Alabama,United States,,0.004081299485756265,,-0.3158990243546176
2,2019,12163,45,,2019-02,0.0,,0.0,Alabama,United States,,0.003699745128668914,,0.0
2,2020,12237,70,,2020-02,0.006084025322699915,,0.5555555555555556,Alabama,United States,,0.0057203562964778945,,0.5461487474235696
3,2019,13464,72,,2019-03,0.0,,0.0,Alabama,United States,,0.0053475935828877,,0.0
3,2020,10505,65,,2020-03,-0.21977124183006536,,-0.09722222222222221,Alabama,United States,,0.006187529747739172,,0.15706806282722519
4,2019,13826,61,,2019-04,0.0,,0.0,Alabama,United States,,0.004411977433820338,,0.0
4,2020,6663,49,,2020-04,-0.5180818747287719,,-0.19672131147540983,Alabama,United States,,0.007354044724598529,,0.6668364321688405
5,2019,13704,79,,2019-05,0.0,,0.0,Alabama,United States,,0.0057647402218330415,,0.0
5,2020,9338,59,,2020-05,-0.3185931115002919,,-0.25316455696202533,Alabama,United States,,0.006318269436710216,,0.0960198020338836
6,2019,12185,77,,2019-06,0.0,,0.0,Alabama,United States,,0.006319244973327862,,0.0
7,2019,15211,69,,2019-07,0.0,,0.0,Alabama,United States,,0.004536190914469791,,0.0
8,2019,13883,70,,2019-08,0.0,,0.0,Alabama,United States,,0.005042137866455377,,0.0
9,2019,12796,72,,2019-09,0.0,,0.0,Alabama,United States,,0.005626758361988122,,0.0
10,2019,14737,92,,2019-10,0.0,,0.0,Alabama,United States,,0.006242790255818688,,0.0
11,2019,13279,62,,2019-11,0.0,,0.0,Alabama,United States,,0.004669026282099556,,0.0
12,2019,14015,69,,2019-12,0.0,,0.0,Alabama,United States,,0.0049232964680699254,,0.0
