Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,38485,282,299.0,2019-01,0.0,0.0,0.0,California,United States,0.007769260750941925,0.00732753020657399,0.0,0.0
1,2020,34601,198,193.0,2020-01,-0.10092243731323891,-0.35451505016722407,-0.2978723404255319,California,United States,0.005577873471864975,0.005722377965954741,-0.28205866031865023,-0.219057744610751
2,2019,36531,225,246.0,2019-02,0.0,0.0,0.0,California,United States,0.006734006734006734,0.006159152500615915,0.0,0.0
2,2020,27490,169,152.0,2020-02,-0.24748843448030444,-0.38211382113821135,-0.24888888888888894,California,United States,0.0055292833757730085,0.006147690069116042,-0.17890141869770826,-0.0018610403783194673
3,2019,39924,250,263.0,2019-03,0.0,0.0,0.0,California,United States,0.006587516280933774,0.006261897605450355,0.0,0.0
3,2020,17061,134,104.0,2020-03,-0.572663059813646,-0.6045627376425855,-0.46399999999999997,California,United States,0.006095773987456773,0.00785417032999238,-0.07464760199534526,0.25427958501846315
4,2019,36911,244,255.0,2019-04,0.0,0.0,0.0,California,United States,0.006908509658367424,0.006610495516241771,0.0,0.0
4,2020,10656,60,29.0,2020-04,-0.7113055728644577,-0.8862745098039215,-0.7540983606557377,California,United States,0.0027214714714714713,0.00563063063063063,-0.6060696726137903,-0.14822865898685578
5,2019,38893,267,299.0,2019-05,0.0,0.0,0.0,California,United States,0.00768775872264932,0.006864988558352402,0.0,0.0
5,2020,10142,20,,2020-05,-0.7392332810531458,,-0.9250936329588015,California,United States,,0.0019719976336028395,,-0.7127456780385197
6,2019,37202,283,315.0,2019-06,0.0,0.0,0.0,California,United States,0.00846728670501586,0.007607117896887264,0.0,0.0
7,2019,37800,269,291.0,2019-07,0.0,0.0,0.0,California,United States,0.007698412698412698,0.007116402116402116,0.0,0.0
8,2019,40933,290,319.0,2019-08,0.0,0.0,0.0,California,United States,0.00779322307184912,0.007084748247135563,0.0,0.0
9,2019,39726,269,294.0,2019-09,0.0,0.0,0.0,California,United States,0.0074006947590998335,0.006771383980264814,0.0,0.0
10,2019,42080,266,303.0,2019-10,0.0,0.0,0.0,California,United States,0.007200570342205323,0.006321292775665399,0.0,0.0
11,2019,39897,268,289.0,2019-11,0.0,0.0,0.0,California,United States,0.0072436524049427275,0.006717297039877685,0.0,0.0
12,2019,38554,235,253.0,2019-12,0.0,0.0,0.0,California,United States,0.0065622244125123205,0.006095346786325673,0.0,0.0
