Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,52593,32,33,2019-01,0.0,0.0,0.0,Colorado,United States,0.0006274599281273173,0.000608445990911338,0.0,0.0
1,2020,46103,32,32,2020-01,-0.12340045253170573,-0.030303030303030276,0.0,Colorado,United States,0.0006940979979610871,0.0006940979979610871,0.10620290929598353,0.14077175021148292
2,2019,47256,25,28,2019-02,0.0,0.0,0.0,Colorado,United States,0.0005925173522938886,0.0005290333502624005,0.0,0.0
2,2020,45557,35,35,2020-02,-0.035953106483832764,0.25,0.3999999999999999,Colorado,United States,0.0007682683231995083,0.0007682683231995083,0.29661742432557014,0.45221151524463865
3,2019,50050,39,41,2019-03,0.0,0.0,0.0,Colorado,United States,0.0008191808191808192,0.0007792207792207792,0.0,0.0
3,2020,30559,36,38,2020-03,-0.3894305694305694,-0.07317073170731703,-0.07692307692307687,Colorado,United States,0.0012434961877024772,0.0011780490199286627,0.5179752242563167,0.5118295755751172
4,2019,46675,46,51,2019-04,0.0,0.0,0.0,Colorado,United States,0.0010926620246384574,0.0009855382967327263,0.0,0.0
4,2020,14637,32,34,2020-04,-0.6864059989287628,-0.33333333333333337,-0.30434782608695654,Colorado,United States,0.0023228803716608595,0.002186240349798456,1.1258910068092276,1.2183210505835422
5,2019,50457,42,48,2019-05,0.0,0.0,0.0,Colorado,United States,0.0009513050716451632,0.0008323919376895178,0.0,0.0
5,2020,17222,41,42,2020-05,-0.6586796678359792,-0.125,-0.023809523809523836,Colorado,United States,0.002438741145047033,0.0023806758796887702,1.5635742074091281,1.8600419728918163
6,2019,49940,52,55,2019-06,0.0,0.0,0.0,Colorado,United States,0.0011013215859030838,0.001041249499399279,0.0,0.0
7,2019,53106,60,68,2019-07,0.0,0.0,0.0,Colorado,United States,0.0012804579520204872,0.001129815840018077,0.0,0.0
8,2019,55280,69,77,2019-08,0.0,0.0,0.0,Colorado,United States,0.0013929088277858177,0.001248191027496382,0.0,0.0
9,2019,54701,48,52,2019-09,0.0,0.0,0.0,Colorado,United States,0.000950622474909051,0.0008774976691468163,0.0,0.0
10,2019,58355,45,52,2019-10,0.0,0.0,0.0,Colorado,United States,0.0008910975923228516,0.0007711421472024676,0.0,0.0
11,2019,51975,49,52,2019-11,0.0,0.0,0.0,Colorado,United States,0.0010004810004810006,0.0009427609427609427,0.0,0.0
12,2019,50023,37,39,2019-12,0.0,0.0,0.0,Colorado,United States,0.0007796413649721128,0.0007396597565120044,0.0,0.0
