Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
01,2019,9163,21,0,2019-01,0.0,,0.0,Connecticut,United States,0.0,0.002291825821237586,,0.0
01,2020,8762,22,0,2020-01,-0.043762959729346296,,0.04761904761904767,Connecticut,United States,0.0,0.0025108422734535494,,0.09556417865023192
02,2019,8448,12,0,2019-02,0.0,,0.0,Connecticut,United States,0.0,0.0014204545454545455,,0.0
02,2020,7593,17,0,2020-02,-0.10120738636363635,,0.41666666666666674,Connecticut,United States,0.0,0.0022389042539180826,,0.5761885947583301
03,2019,8944,15,0,2019-03,0.0,,0.0,Connecticut,United States,0.0,0.0016771019677996421,,0.0
03,2020,5948,13,0,2020-03,-0.33497316636851515,,-0.1333333333333333,Connecticut,United States,0.0,0.0021856086079354406,,0.3032055592916387
04,2019,8449,10,0,2019-04,0.0,,0.0,Connecticut,United States,0.0,0.0011835720203574387,,0.0
04,2020,3444,19,0,2020-04,-0.5923777961888981,,0.8999999999999999,Connecticut,United States,0.0,0.005516840882694541,,3.661178861788618
05,2019,9632,22,0,2019-05,0.0,,0.0,Connecticut,United States,0.0,0.0022840531561461796,,0.0
05,2020,4178,9,0,2020-05,-0.5662375415282392,,-0.5909090909090908,Connecticut,United States,0.0,0.00215414073719483,,-0.056878019060881746
06,2019,9398,24,0,2019-06,0.0,,0.0,Connecticut,United States,0.0,0.002553734837199404,,0.0
07,2019,9247,30,0,2019-07,0.0,,0.0,Connecticut,United States,0.0,0.003244295447172056,,0.0
08,2019,9098,37,0,2019-08,0.0,,0.0,Connecticut,United States,0.0,0.0040668278742580785,,0.0
09,2019,9020,22,0,2019-09,0.0,,0.0,Connecticut,United States,0.0,0.0024390243902439024,,0.0
10,2019,10077,26,0,2019-10,0.0,,0.0,Connecticut,United States,0.0,0.002580132976084152,,0.0
11,2019,9679,16,0,2019-11,0.0,,0.0,Connecticut,United States,0.0,0.0016530633329889452,,0.0
12,2019,10856,10,0,2019-12,0.0,,0.0,Connecticut,United States,0.0,0.0009211495946941784,,0.0
