Year,Month,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
2019,01,9163,21,0,2019-01,,,,Connecticut,United States,0.0,0.002291825821237586,,
2019,02,8448,12,0,2019-02,-0.078031212484994,,-0.4285714285714286,Connecticut,United States,0.0,0.0014204545454545455,,-0.38020833333333337
2019,03,8944,15,0,2019-03,0.058712121212121104,,0.25,Connecticut,United States,0.0,0.0016771019677996421,,0.18067978533094808
2019,04,8449,10,0,2019-04,-0.055344364937388146,,-0.33333333333333337,Connecticut,United States,0.0,0.0011835720203574387,,-0.29427545666153787
2019,05,9632,22,0,2019-05,0.14001657000828494,,1.2000000000000002,Connecticut,United States,0.0,0.0022840531561461796,,0.9297965116279072
2019,06,9398,24,0,2019-06,-0.024294019933554845,,0.09090909090909083,Connecticut,United States,0.0,0.002553734837199404,,0.11807154326839364
2019,07,9247,30,0,2019-07,-0.016067248350712937,,0.25,Connecticut,United States,0.0,0.003244295447172056,,0.2704120255217908
2019,08,9098,37,0,2019-08,-0.01611333405428783,,0.2333333333333334,Connecticut,United States,0.0,0.0040668278742580785,,0.25353191177548173
2019,09,9020,22,0,2019-09,-0.008573312816003487,,-0.4054054054054054,Connecticut,United States,0.0,0.0024390243902439024,,-0.4002636783124588
2019,10,10077,26,0,2019-10,0.1171840354767184,,0.18181818181818188,Connecticut,United States,0.0,0.002580132976084152,,0.057854520194502435
2019,11,9679,16,0,2019-11,-0.03949588171082663,,-0.3846153846153846,Connecticut,United States,0.0,0.0016530633329889452,,-0.3593107997488615
2019,12,10856,10,0,2019-12,0.12160347143299921,,-0.375,Connecticut,United States,0.0,0.0009211495946941784,,-0.44276206705969046
2020,01,8762,22,0,2020-01,-0.19288872512896094,,1.2000000000000002,Connecticut,United States,0.0,0.0025108422734535494,,1.7257703720611732
2020,02,7593,17,0,2020-02,-0.13341702807578182,,-0.2272727272727273,Connecticut,United States,0.0,0.0022389042539180826,,-0.10830549668953449
2020,03,5948,13,0,2020-03,-0.21664691162913208,,-0.23529411764705888,Connecticut,United States,0.0,0.0021856086079354406,,-0.023804343526247163
2020,04,3444,19,0,2020-04,-0.4209818426361802,,0.46153846153846145,Connecticut,United States,0.0,0.005516840882694541,,1.5241668900205485
2020,05,4178,9,0,2020-05,0.21312427409988377,,-0.5263157894736843,Connecticut,United States,0.0,0.00215414073719483,,-0.6095336474263686
