Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
01,2019,1926,0,0,2019-01,0.0,,,District of Columbia,United States,0.0,0.0,,
01,2020,2075,4,5,2020-01,0.07736240913810999,inf,inf,District of Columbia,United States,0.0024096385542168677,0.0019277108433734939,inf,inf
02,2019,1788,2,2,2019-02,0.0,0.0,0.0,District of Columbia,United States,0.0011185682326621924,0.0011185682326621924,0.0,0.0
02,2020,1904,1,1,2020-02,0.06487695749440725,-0.5,-0.5,District of Columbia,United States,0.0005252100840336134,0.0005252100840336134,-0.5304621848739496,-0.5304621848739496
03,2019,2263,2,2,2019-03,0.0,0.0,0.0,District of Columbia,United States,0.0008837825894829872,0.0008837825894829872,0.0,0.0
03,2020,1541,2,2,2020-03,-0.3190455148033584,0.0,0.0,District of Columbia,United States,0.0012978585334198572,0.0012978585334198572,0.4685269305645683,0.4685269305645683
04,2019,2234,5,6,2019-04,0.0,0.0,0.0,District of Columbia,United States,0.0026857654431512983,0.0022381378692927483,0.0,0.0
04,2020,883,1,1,2020-04,-0.6047448522829006,-0.8333333333333334,-0.8,District of Columbia,United States,0.0011325028312570782,0.0011325028312570782,-0.5783314458286146,-0.4939977349943374
05,2019,2550,3,3,2019-05,0.0,0.0,0.0,District of Columbia,United States,0.001176470588235294,0.001176470588235294,0.0,0.0
05,2020,1218,4,5,2020-05,-0.5223529411764706,0.6666666666666667,0.33333333333333326,District of Columbia,United States,0.004105090311986864,0.003284072249589491,2.4893267651888347,1.7914614121510675
06,2019,2341,1,1,2019-06,0.0,0.0,0.0,District of Columbia,United States,0.00042716787697565144,0.00042716787697565144,0.0,0.0
07,2019,2314,1,1,2019-07,0.0,0.0,0.0,District of Columbia,United States,0.000432152117545376,0.000432152117545376,0.0,0.0
08,2019,2301,2,2,2019-08,0.0,0.0,0.0,District of Columbia,United States,0.000869187309865276,0.000869187309865276,0.0,0.0
09,2019,2325,2,2,2019-09,0.0,0.0,0.0,District of Columbia,United States,0.0008602150537634409,0.0008602150537634409,0.0,0.0
10,2019,2492,4,4,2019-10,0.0,0.0,0.0,District of Columbia,United States,0.0016051364365971107,0.0016051364365971107,0.0,0.0
11,2019,2121,3,3,2019-11,0.0,0.0,0.0,District of Columbia,United States,0.0014144271570014145,0.0014144271570014145,0.0,0.0
12,2019,2137,2,2,2019-12,0.0,0.0,0.0,District of Columbia,United States,0.0009358914365933552,0.0009358914365933552,0.0,0.0
