yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-3,35910,305,0.0,0.0,Florida,United States
2019-5,34645,255,-0.03522695627958783,-0.16393442622950816,Florida,United States
2019-7,31000,220,-0.13673071567808415,-0.2786885245901639,Florida,United States
2019-9,30942,229,-0.1383458646616541,-0.24918032786885247,Florida,United States
2019-12,35670,237,-0.006683375104427736,-0.22295081967213115,Florida,United States
2020-01,32484,272,-0.09540517961570594,-0.1081967213114754,Florida,United States
2020-02,31769,249,-0.11531606794764693,-0.18360655737704923,Florida,United States
2020-03,26853,252,-0.25221386800334167,-0.17377049180327864,Florida,United States
2020-04,16253,187,-0.5473962684489,-0.3868852459016393,Florida,United States
2020-05,14954,115,-0.5835700362016152,-0.6229508196721312,Florida,United States
