Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,32852,238,257.0,2019-1,0.0,0.0,0.0,Florida,United States,0.007822963594301716,0.007244612200170461,0.0,0.0
1,2020,32484,272,283.0,2020-01,-0.011201753317910623,0.10116731517509736,0.1428571428571428,Florida,United States,0.008711981283093214,0.008373353035340475,0.1136420588022502,0.15580417612187114
2,2019,32157,263,281.0,2019-02,0.0,0.0,0.0,Florida,United States,0.008738377336194297,0.008178623627825978,0.0,0.0
2,2020,31769,249,270.0,2020-02,-0.012065802158161554,-0.039145907473309594,-0.05323193916349811,Florida,United States,0.00849885108124272,0.007837829330479398,-0.02741083907643349,-0.04166890577860827
3,2019,35910,305,334.0,2019-3,0.0,0.0,0.0,Florida,United States,0.009301030353661933,0.008493455861876914,0.0,0.0
3,2020,26853,252,265.0,2020-03,-0.25221386800334167,-0.2065868263473054,-0.17377049180327864,Florida,United States,0.009868543551930883,0.009384426321081444,0.06101616452047298,0.10490081701650711
4,2019,33692,268,292.0,2019-04,0.0,0.0,0.0,Florida,United States,0.008666745815030274,0.007954410542562032,0.0,0.0
4,2020,16253,187,205.0,2020-04,-0.5176006173572361,-0.297945205479452,-0.3022388059701493,Florida,United States,0.01261305605119055,0.01150556820279333,0.45533933039969865,0.44643882047952577
5,2019,34645,255,264.0,2019-5,0.0,0.0,0.0,Florida,United States,0.007620147207389233,0.007360369461682783,0.0,0.0
5,2020,14954,115,,2020-05,-0.5683648434117476,,-0.5490196078431373,Florida,United States,,0.00769025010030761,,0.04481848911826347
6,2019,31111,236,254.0,2019-06,0.0,0.0,0.0,Florida,United States,0.008164314872553115,0.007585741377647778,0.0,0.0
7,2019,31000,220,239.0,2019-7,0.0,0.0,0.0,Florida,United States,0.007709677419354839,0.0070967741935483875,0.0,0.0
8,2019,34401,219,245.0,2019-08,0.0,0.0,0.0,Florida,United States,0.007121885991686288,0.0063660940088950905,0.0,0.0
9,2019,30942,229,246.0,2019-9,0.0,0.0,0.0,Florida,United States,0.00795035873569905,0.007400943701118221,0.0,0.0
10,2019,35527,220,236.0,2019-10,0.0,0.0,0.0,Florida,United States,0.006642835026880964,0.006192473330143272,0.0,0.0
11,2019,32660,280,308.0,2019-11,0.0,0.0,0.0,Florida,United States,0.009430496019595835,0.008573178199632579,0.0,0.0
12,2019,35670,237,259.0,2019-12,0.0,0.0,0.0,Florida,United States,0.007261003644519204,0.006644238856181665,0.0,0.0
