Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,2198,8,0,2019-01,0.0,,0.0,Idaho,United States,0.0,0.003639672429481347,,0.0
1,2020,1188,7,0,2020-01,-0.45950864422202,,-0.125,Idaho,United States,0.0,0.005892255892255892,,0.6188973063973064
2,2019,2443,17,0,2019-02,0.0,,0.0,Idaho,United States,0.0,0.006958657388456815,,0.0
2,2020,955,16,0,2020-02,-0.6090871878837495,,-0.05882352941176472,Idaho,United States,0.0,0.016753926701570682,,1.4076378195257164
3,2019,1859,11,0,2019-03,0.0,,0.0,Idaho,United States,0.0,0.005917159763313609,,0.0
3,2020,777,7,0,2020-03,-0.5820333512641205,,-0.36363636363636365,Idaho,United States,0.0,0.009009009009009009,,0.5225225225225225
4,2019,1916,14,0,2019-04,0.0,,0.0,Idaho,United States,0.0,0.007306889352818371,,0.0
4,2020,265,9,0,2020-04,-0.8616910229645094,,-0.3571428571428571,Idaho,United States,0.0,0.033962264150943396,,3.6479784366576817
5,2019,2169,17,0,2019-05,0.0,,0.0,Idaho,United States,0.0,0.007837713231904103,,0.0
5,2020,229,15,0,2020-05,-0.8944213923467036,,-0.11764705882352944,Idaho,United States,0.0,0.06550218340611354,,7.357307988697663
6,2019,2094,18,0,2019-06,0.0,,0.0,Idaho,United States,0.0,0.008595988538681949,,0.0
7,2019,2196,30,0,2019-07,0.0,,0.0,Idaho,United States,0.0,0.01366120218579235,,0.0
8,2019,2413,25,0,2019-08,0.0,,0.0,Idaho,United States,0.0,0.010360547036883548,,0.0
9,2019,2313,16,0,2019-09,0.0,,0.0,Idaho,United States,0.0,0.006917423259835711,,0.0
10,2019,2486,18,0,2019-10,0.0,,0.0,Idaho,United States,0.0,0.007240547063555913,,0.0
11,2019,2405,13,0,2019-11,0.0,,0.0,Idaho,United States,0.0,0.005405405405405406,,0.0
12,2019,2502,15,0,2019-12,0.0,,0.0,Idaho,United States,0.0,0.005995203836930456,,0.0
