Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,5621,19,21,2019-01,0.0,0.0,0.0,Iowa,United States,0.0037359900373599006,0.0033801814623732433,0.0,0.0
1,2020,5189,22,24,2020-01,-0.07685465219711796,0.1428571428571428,0.1578947368421053,Iowa,United States,0.0046251686259394876,0.004239737907111196,0.2380034688764694,0.2542929882037912
2,2019,5872,17,20,2019-02,0.0,0.0,0.0,Iowa,United States,0.0034059945504087193,0.0028950953678474113,0.0,0.0
2,2020,3723,15,17,2020-02,-0.3659741144414169,-0.15000000000000002,-0.11764705882352944,Iowa,United States,0.0045662100456621,0.0040290088638195,0.34063926940639266,0.39166706166753573
3,2019,4031,18,22,2019-03,0.0,0.0,0.0,Iowa,United States,0.005457702803274621,0.004465393202679236,0.0,0.0
3,2020,2935,12,13,2020-03,-0.27189283056313573,-0.40909090909090906,-0.33333333333333337,Iowa,United States,0.004429301533219762,0.0040885860306643955,-0.18843115998141546,-0.08438387279954573
4,2019,4031,21,22,2019-04,0.0,0.0,0.0,Iowa,United States,0.005457702803274621,0.005209625403125776,0.0,0.0
4,2020,2335,16,17,2020-04,-0.42073927065244354,-0.2272727272727273,-0.23809523809523814,Iowa,United States,0.007280513918629551,0.006852248394004282,0.33398870936344194,0.31530539410625047
5,2019,4504,27,30,2019-05,0.0,0.0,0.0,Iowa,United States,0.0066607460035523975,0.005994671403197158,0.0,0.0
5,2020,2818,16,17,2020-05,-0.3743339253996447,-0.43333333333333335,-0.40740740740740744,Iowa,United States,0.00603264726756565,0.0056777856635912,-0.09429855689614375,-0.05286123596982362
6,2019,4604,34,35,2019-06,0.0,0.0,0.0,Iowa,United States,0.007602085143353606,0.007384882710686359,0.0,0.0
7,2019,4345,28,32,2019-07,0.0,0.0,0.0,Iowa,United States,0.007364787111622554,0.006444188722669736,0.0,0.0
8,2019,4295,30,31,2019-08,0.0,0.0,0.0,Iowa,United States,0.007217694994179278,0.006984866123399301,0.0,0.0
9,2019,4438,39,39,2019-09,0.0,0.0,0.0,Iowa,United States,0.00878774222622803,0.00878774222622803,0.0,0.0
10,2019,5431,21,21,2019-10,0.0,0.0,0.0,Iowa,United States,0.0038666912170870925,0.0038666912170870925,0.0,0.0
11,2019,5956,32,35,2019-11,0.0,0.0,0.0,Iowa,United States,0.00587642713230356,0.005372733378106112,0.0,0.0
12,2019,5126,27,28,2019-12,0.0,0.0,0.0,Iowa,United States,0.005462348809988295,0.0052672649239172845,0.0,0.0
