Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,5528,30,33,2019-01,0.0,0.0,0.0,Kansas,United States,0.005969609261939218,0.005426917510853835,0.0,0.0
1,2020,5059,28,30,2020-01,-0.08484081041968161,-0.09090909090909094,-0.06666666666666665,Kansas,United States,0.005930025696778019,0.0055346906503261515,-0.006630846915488209,0.019858997166765535
2,2019,5219,21,22,2019-02,0.0,0.0,0.0,Kansas,United States,0.00421536692853037,0.004023759340869898,0.0,0.0
2,2020,4253,32,35,2020-02,-0.18509292968001534,0.5909090909090908,0.5238095238095237,Kansas,United States,0.008229485069362802,0.0075241006348459915,0.9522582989547483,0.8699181530124396
3,2019,4722,32,40,2019-03,0.0,0.0,0.0,Kansas,United States,0.00847098686997035,0.006776789495976281,0.0,0.0
3,2020,2576,29,36,2020-03,-0.4544684455739093,-0.09999999999999998,-0.09375,Kansas,United States,0.013975155279503106,0.01125776397515528,0.6497670807453417,0.661223796583851
4,2019,4862,32,34,2019-04,0.0,0.0,0.0,Kansas,United States,0.006993006993006993,0.00658165364047717,0.0,0.0
4,2020,1355,16,17,2020-04,-0.7213081036610449,-0.5,-0.5,Kansas,United States,0.012546125461254613,0.011808118081180811,0.7940959409594095,0.7940959409594095
5,2019,5558,32,39,2019-05,0.0,0.0,0.0,Kansas,United States,0.007016912558474271,0.0057574667146455556,0.0,0.0
5,2020,1773,15,17,2020-05,-0.6810003598416696,-0.5641025641025641,-0.53125,Kansas,United States,0.009588268471517203,0.008460236886632826,0.366451183710067,0.4694373942470389
6,2019,5330,29,33,2019-06,0.0,0.0,0.0,Kansas,United States,0.006191369606003753,0.005440900562851783,0.0,0.0
7,2019,4709,40,46,2019-07,0.0,0.0,0.0,Kansas,United States,0.009768528349968147,0.00849437247823317,0.0,0.0
8,2019,4921,31,33,2019-08,0.0,0.0,0.0,Kansas,United States,0.006705954074375127,0.006299532615322089,0.0,0.0
9,2019,5058,26,29,2019-09,0.0,0.0,0.0,Kansas,United States,0.005733491498616054,0.005140371688414393,0.0,0.0
10,2019,6472,36,42,2019-10,0.0,0.0,0.0,Kansas,United States,0.0064894932014833125,0.005562422744128554,0.0,0.0
11,2019,6667,27,32,2019-11,0.0,0.0,0.0,Kansas,United States,0.0047997600119994,0.004049797510124494,0.0,0.0
12,2019,5683,27,29,2019-12,0.0,0.0,0.0,Kansas,United States,0.005102938588773535,0.004751011789547774,0.0,0.0
