Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,12005,44,53,2019-01,0.0,0.0,0.0,Kentucky,United States,0.004414827155351937,0.0036651395251978344,0.0,0.0
1,2020,11602,40,43,2020-01,-0.03356934610578921,-0.18867924528301883,-0.09090909090909094,Kentucky,United States,0.003706257541803137,0.0034476814342354768,-0.1604977020877988,-0.059331463227343284
2,2019,11320,49,54,2019-02,0.0,0.0,0.0,Kentucky,United States,0.004770318021201414,0.004328621908127208,0.0,0.0
2,2020,11477,41,46,2020-02,0.013869257950529956,-0.14814814814814814,-0.16326530612244894,Kentucky,United States,0.004008016032064128,0.003572362115535419,-0.1598010836487792,-0.1747114459620216
3,2019,12101,51,55,2019-03,0.0,0.0,0.0,Kentucky,United States,0.004545078919097595,0.0042145277249814065,0.0,0.0
3,2020,8662,44,52,2020-03,-0.2841913891413933,-0.054545454545454564,-0.13725490196078427,Kentucky,United States,0.006003232509812976,0.005079658277534056,0.32082030184085153,0.2052734277733259
4,2019,12659,56,60,2019-04,0.0,0.0,0.0,Kentucky,United States,0.004739710877636464,0.0044237301524607,0.0,0.0
4,2020,5849,47,55,2020-04,-0.5379571846117387,-0.08333333333333337,-0.1607142857142857,Kentucky,United States,0.009403316806291674,0.00803556163446743,0.9839431241807719,0.8164674059057713
5,2019,13904,70,78,2019-05,0.0,0.0,0.0,Kentucky,United States,0.005609896432681243,0.005034522439585731,0.0,0.0
5,2020,7455,40,42,2020-05,-0.4638233601841196,-0.46153846153846156,-0.4285714285714286,Kentucky,United States,0.005633802816901409,0.0053655264922870555,0.004261466233297151,0.06574686212513159
6,2019,12848,58,67,2019-06,0.0,0.0,0.0,Kentucky,United States,0.005214819427148194,0.004514321295143213,0.0,0.0
7,2019,13011,72,78,2019-07,0.0,0.0,0.0,Kentucky,United States,0.005994927369149181,0.00553377910998386,0.0,0.0
8,2019,13791,76,83,2019-08,0.0,0.0,0.0,Kentucky,United States,0.006018417808715829,0.005510840403161482,0.0,0.0
9,2019,12601,71,76,2019-09,0.0,0.0,0.0,Kentucky,United States,0.006031267359733354,0.005634473454487739,0.0,0.0
10,2019,15002,53,57,2019-10,0.0,0.0,0.0,Kentucky,United States,0.003799493400879883,0.003532862285028663,0.0,0.0
11,2019,14312,48,50,2019-11,0.0,0.0,0.0,Kentucky,United States,0.0034935718278367805,0.003353828954723309,0.0,0.0
12,2019,13089,52,55,2019-12,0.0,0.0,0.0,Kentucky,United States,0.004202001680800672,0.003972801589120636,0.0,0.0
