Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,12784,44,49.0,2019-01,0.0,0.0,0.0,Louisiana,United States,0.0038329161451814767,0.00344180225281602,0.0,0.0
1,2020,11414,45,51.0,2020-01,-0.10716520650813521,0.04081632653061229,0.022727272727272707,Louisiana,United States,0.0044681969511126685,0.003942526721570002,0.1657434657760073,0.14548321837615674
2,2019,12365,48,52.0,2019-02,0.0,0.0,0.0,Louisiana,United States,0.004205418520016175,0.003881924787707238,0.0,0.0
2,2020,11946,43,45.0,2020-02,-0.03388596845936109,-0.13461538461538458,-0.10416666666666663,Louisiana,United States,0.0037669512807634357,0.003599531223840616,-0.10426245025692538,-0.07274575869189126
3,2019,14480,43,47.0,2019-03,0.0,0.0,0.0,Louisiana,United States,0.0032458563535911603,0.0029696132596685083,0.0,0.0
3,2020,10054,58,55.0,2020-03,-0.3056629834254143,0.17021276595744683,0.34883720930232553,Louisiana,United States,0.005470459518599562,0.005768848219614084,0.6853671027515247,0.9426260981398125
4,2019,13842,65,73.0,2019-04,0.0,0.0,0.0,Louisiana,United States,0.0052738043635312815,0.004695853200404566,0.0,0.0
4,2020,6373,42,44.0,2020-04,-0.5395896546741801,-0.3972602739726028,-0.3538461538461538,Louisiana,United States,0.006904126784873686,0.0065903028401067005,0.30913593090714464,0.4034303371193375
5,2019,14409,66,68.0,2019-05,0.0,0.0,0.0,Louisiana,United States,0.004719272676799223,0.004580470539246304,0.0,0.0
5,2020,7546,21,,2020-05,-0.47629953501283917,,-0.6818181818181819,Louisiana,United States,,0.0027829313543599257,,-0.39243548659133076
6,2019,12244,56,58.0,2019-06,0.0,0.0,0.0,Louisiana,United States,0.004737014047696831,0.004573668735707285,0.0,0.0
7,2019,12343,58,62.0,2019-07,0.0,0.0,0.0,Louisiana,United States,0.005023090010532285,0.004699019687272138,0.0,0.0
8,2019,13499,58,61.0,2019-08,0.0,0.0,0.0,Louisiana,United States,0.004518853248388769,0.004296614564041781,0.0,0.0
9,2019,13082,62,66.0,2019-09,0.0,0.0,0.0,Louisiana,United States,0.00504510013759364,0.004739336492890996,0.0,0.0
10,2019,14782,60,60.0,2019-10,0.0,0.0,0.0,Louisiana,United States,0.004058990664321472,0.004058990664321472,0.0,0.0
11,2019,13251,54,57.0,2019-11,0.0,0.0,0.0,Louisiana,United States,0.004301562146253113,0.004075164138555581,0.0,0.0
12,2019,13271,63,70.0,2019-12,0.0,0.0,0.0,Louisiana,United States,0.005274659030969784,0.0047471931278728055,0.0,0.0
