Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,3664,11,,2019-01,0.0,,0.0,Maine,United States,,0.003002183406113537,,0.0
1,2020,3379,12,,2020-01,-0.0777838427947598,,0.09090909090909083,Maine,United States,,0.003551346552234389,,0.18292125158061823
2,2019,2741,7,,2019-02,0.0,,0.0,Maine,United States,,0.002553812477198103,,0.0
2,2020,2764,5,,2020-02,0.008391098139365116,,-0.2857142857142857,Maine,United States,,0.001808972503617945,,-0.2916580525118876
3,2019,2777,6,,2019-03,0.0,,0.0,Maine,United States,,0.0021606049693914295,,0.0
3,2020,1951,6,,2020-03,-0.29744328411955345,,0.0,Maine,United States,,0.0030753459764223477,,0.42337262942081
4,2019,2499,12,,2019-04,0.0,,0.0,Maine,United States,,0.004801920768307323,,0.0
4,2020,1329,9,,2020-04,-0.46818727490996404,,-0.25,Maine,United States,,0.006772009029345372,,0.4102708803611739
5,2019,2308,13,,2019-05,0.0,,0.0,Maine,United States,,0.005632582322357019,,0.0
6,2019,2775,19,,2019-06,0.0,,0.0,Maine,United States,,0.006846846846846847,,0.0
7,2019,2916,25,,2019-07,0.0,,0.0,Maine,United States,,0.008573388203017833,,0.0
8,2019,2703,15,,2019-08,0.0,,0.0,Maine,United States,,0.005549389567147614,,0.0
9,2019,2347,13,,2019-09,0.0,,0.0,Maine,United States,,0.005538985939497231,,0.0
10,2019,2792,12,,2019-10,0.0,,0.0,Maine,United States,,0.004297994269340974,,0.0
11,2019,3608,9,,2019-11,0.0,,0.0,Maine,United States,,0.0024944567627494456,,0.0
12,2019,4091,10,,2019-12,0.0,,0.0,Maine,United States,,0.0024443901246638962,,0.0
