Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,12664,55,,2019-01,0.0,,0.0,Missouri,United States,,0.00434301958307012,,0.0
1,2020,10899,45,,2020-01,-0.13937144662034118,,-0.18181818181818177,Missouri,United States,,0.004128819157720892,,-0.04932062157495687
2,2019,12580,51,,2019-02,0.0,,0.0,Missouri,United States,,0.004054054054054054,,0.0
2,2020,7105,64,,2020-02,-0.435214626391097,,0.2549019607843137,Missouri,United States,,0.00900774102744546,,1.2219094534365467
3,2019,11404,47,,2019-03,0.0,,0.0,Missouri,United States,,0.0041213609259908805,,0.0
3,2020,1636,45,,2020-03,-0.8565415643633812,,-0.04255319148936165,Missouri,United States,,0.02750611246943765,,5.67403631066951
4,2019,12218,60,,2019-04,0.0,,0.0,Missouri,United States,,0.004910787362907186,,0.0
4,2020,1230,53,,2020-04,-0.8993288590604027,,-0.1166666666666667,Missouri,United States,,0.043089430894308944,,7.774444444444445
5,2019,13200,58,,2019-05,0.0,,0.0,Missouri,United States,,0.004393939393939394,,0.0
5,2020,1310,53,,2020-05,-0.9007575757575758,,-0.08620689655172409,Missouri,United States,,0.04045801526717557,,8.207686233219269
6,2019,13063,81,,2019-06,0.0,,0.0,Missouri,United States,,0.006200719589680778,,0.0
7,2019,11739,84,,2019-07,0.0,,0.0,Missouri,United States,,0.007155635062611807,,0.0
8,2019,1019,92,,2019-08,0.0,,0.0,Missouri,United States,,0.09028459273797841,,0.0
9,2019,11074,73,,2019-09,0.0,,0.0,Missouri,United States,,0.006592017337908615,,0.0
10,2019,12814,79,,2019-10,0.0,,0.0,Missouri,United States,,0.006165131886998595,,0.0
11,2019,13551,71,,2019-11,0.0,,0.0,Missouri,United States,,0.005239465722086931,,0.0
12,2019,12817,66,,2019-12,0.0,,0.0,Missouri,United States,,0.005149410938597176,,0.0
