Year,Month,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
2019,1,12664,55,,2019-01,,,,Missouri,United States,,0.00434301958307012,,
2019,2,12580,51,,2019-02,-0.006632975363234372,,-0.07272727272727275,Missouri,United States,,0.004054054054054054,,-0.0665356265356265
2019,3,11404,47,,2019-03,-0.09348171701112873,,-0.07843137254901966,Missouri,United States,,0.0041213609259908805,,0.016602361744417093
2019,4,12218,60,,2019-04,0.07137846369694834,,0.27659574468085113,Missouri,United States,,0.004910787362907186,,0.1915450869487989
2019,5,13200,58,,2019-05,0.08037321983958101,,-0.033333333333333326,Missouri,United States,,0.004393939393939394,,-0.10524747474747476
2019,6,13063,81,,2019-06,-0.010378787878787876,,0.39655172413793105,Missouri,United States,,0.006200719589680778,,0.4111982514445909
2019,7,11739,84,,2019-07,-0.10135497205848576,,0.03703703703703698,Missouri,United States,,0.007155635062611807,,0.15400075089997567
2019,8,1019,92,,2019-08,-0.913195331799983,,0.09523809523809534,Missouri,United States,,0.09028459273797841,,11.617271835132483
2019,9,11074,73,,2019-09,9.867517173699705,,-0.2065217391304348,Missouri,United States,,0.006592017337908615,,-0.9269862427464253
2019,10,12814,79,,2019-10,0.15712479682138336,,0.08219178082191791,Missouri,United States,,0.006165131886998595,,-0.06475793812845965
2019,11,13551,71,,2019-11,0.05751521773060708,,-0.10126582278481011,Missouri,United States,,0.005239465722086931,,-0.1501453954073173
2019,12,12817,66,,2019-12,-0.05416574422551845,,-0.07042253521126762,Missouri,United States,,0.005149410938597176,,-0.01718777987422071
2020,1,10899,45,,2020-01,-0.1496450027307482,,-0.31818181818181823,Missouri,United States,,0.004128819157720892,,-0.19819583114380812
2020,2,7105,64,,2020-02,-0.3481053307642903,,0.4222222222222223,Missouri,United States,,0.00900774102744546,,1.1816748768472904
2020,3,1636,45,,2020-03,-0.7697396199859254,,-0.296875,Missouri,United States,,0.02750611246943765,,2.0536082671149143
2020,4,1230,53,,2020-04,-0.24816625916870416,,0.1777777777777778,Missouri,United States,,0.043089430894308944,,0.5665401987353209
2020,5,1310,53,,2020-05,0.06504065040650397,,0.0,Missouri,United States,,0.04045801526717557,,-0.06106870229007633
