Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,1600,3,,2019-01,0.0,,0.0,SouthDakota,United States,,0.001875,,0.0
1,2020,1796,5,,2020-01,0.12250000000000005,,0.6666666666666667,SouthDakota,United States,,0.0027839643652561247,,0.48478099480326664
2,2019,1902,3,,2019-02,0.0,,0.0,SouthDakota,United States,,0.0015772870662460567,,0.0
2,2020,1298,10,,2020-02,-0.3175604626708728,,2.3333333333333335,SouthDakota,United States,,0.007704160246533128,,3.8844375963020035
3,2019,1675,6,,2019-03,0.0,,0.0,SouthDakota,United States,,0.003582089552238806,,0.0
3,2020,1042,3,,2020-03,-0.377910447761194,,-0.5,SouthDakota,United States,,0.0028790786948176585,,-0.196257197696737
4,2019,1170,4,,2019-04,0.0,,0.0,SouthDakota,United States,,0.003418803418803419,,0.0
4,2020,738,6,,2020-04,-0.36923076923076925,,0.5,SouthDakota,United States,,0.008130081300813009,,1.3780487804878052
5,2019,1530,5,,2019-05,0.0,,0.0,SouthDakota,United States,,0.0032679738562091504,,0.0
5,2020,900,1,,2020-05,-0.4117647058823529,,-0.8,SouthDakota,United States,,0.0011111111111111111,,-0.66
6,2019,1657,7,,2019-06,0.0,,0.0,SouthDakota,United States,,0.004224502112251056,,0.0
7,2019,1477,8,,2019-07,0.0,,0.0,SouthDakota,United States,,0.005416384563303994,,0.0
8,2019,1544,9,,2019-08,0.0,,0.0,SouthDakota,United States,,0.005829015544041451,,0.0
9,2019,1571,9,,2019-09,0.0,,0.0,SouthDakota,United States,,0.005728835136855506,,0.0
10,2019,2032,13,,2019-10,0.0,,0.0,SouthDakota,United States,,0.0063976377952755905,,0.0
11,2019,2650,8,,2019-11,0.0,,0.0,SouthDakota,United States,,0.0030188679245283017,,0.0
12,2019,1898,5,,2019-12,0.0,,0.0,SouthDakota,United States,,0.0026343519494204425,,0.0
