Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,15677,72,78,2019-01,0.0,0.0,0.0,Tennessee,United States,0.004975441729922817,0.004592715443005677,0.0,0.0
1,2020,15876,71,74,2020-01,0.012693755182751731,-0.05128205128205132,-0.01388888888888884,Tennessee,United States,0.004661123708742756,0.004472159234063996,-0.0631738925389721,-0.02624944010526009
2,2019,15653,79,81,2019-02,0.0,0.0,0.0,Tennessee,United States,0.00517472688941417,0.005046955855107647,0.0,0.0
2,2020,15865,75,89,2020-02,0.013543729636491308,0.09876543209876543,-0.05063291139240511,Tennessee,United States,0.0056098329656476525,0.004727387330601954,0.084082906312132,-0.06331906473528615
3,2019,16495,62,65,2019-03,0.0,0.0,0.0,Tennessee,United States,0.003940588056986966,0.003758714762049106,0.0,0.0
3,2020,13244,73,77,2020-03,-0.19709002728099423,0.18461538461538463,0.17741935483870974,Tennessee,United States,0.005813953488372093,0.005511929930534581,0.47540250447227206,0.46644006780916003
4,2019,17605,83,88,2019-04,0.0,0.0,0.0,Tennessee,United States,0.00499857994887816,0.004714569724510082,0.0,0.0
4,2020,8752,74,74,2020-04,-0.5028685032661175,-0.15909090909090906,-0.10843373493975905,Tennessee,United States,0.008455210237659964,0.008455210237659964,0.691522457204587,0.7934214004096829
5,2019,17761,103,109,2019-05,0.0,0.0,0.0,Tennessee,United States,0.006137041833230111,0.005799223016722032,0.0,0.0
5,2020,12628,69,86,2020-05,-0.28900399752266204,-0.21100917431192656,-0.33009708737864074,Tennessee,United States,0.006810262907823884,0.0054640481469749765,0.10969797711798157,-0.05779651321919854
6,2019,16208,101,104,2019-06,0.0,0.0,0.0,Tennessee,United States,0.006416584402764067,0.006231490621915104,0.0,0.0
7,2019,15757,98,100,2019-07,0.0,0.0,0.0,Tennessee,United States,0.006346385733324872,0.006219458018658374,0.0,0.0
8,2019,16948,91,97,2019-08,0.0,0.0,0.0,Tennessee,United States,0.005723389190464952,0.005369365116827944,0.0,0.0
9,2019,16342,109,120,2019-09,0.0,0.0,0.0,Tennessee,United States,0.007343042467262269,0.006669930241096561,0.0,0.0
10,2019,19647,98,108,2019-10,0.0,0.0,0.0,Tennessee,United States,0.005497022446174988,0.0049880388863439715,0.0,0.0
11,2019,19220,85,91,2019-11,0.0,0.0,0.0,Tennessee,United States,0.00473465140478668,0.004422476586888657,0.0,0.0
12,2019,17458,99,107,2019-12,0.0,0.0,0.0,Tennessee,United States,0.006128995303012945,0.005670752663535342,0.0,0.0
