Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
01,2019,48832,248,279,2019-01,0.0,0.0,0.0,Texas,United States,0.005713466579292267,0.005078636959370904,0.0,0.0
01,2020,52261,283,311,2020-01,0.07022034731323723,0.11469534050179209,0.1411290322580645,Texas,United States,0.005950900288934387,0.005415127915654121,0.04155685630553396,0.06625615474686297
02,2019,48660,232,244,2019-02,0.0,0.0,0.0,Texas,United States,0.005014385532264694,0.004767776407727086,0.0,0.0
02,2020,51951,284,310,2020-02,0.067632552404439,0.2704918032786885,0.22413793103448265,Texas,United States,0.005967161363592616,0.005466689765355816,0.19000849160826516,0.1465910516474742
03,2019,55180,264,305,2019-03,0.0,0.0,0.0,Texas,United States,0.005527364987314244,0.0047843421529539685,0.0,0.0
03,2020,43765,240,256,2020-03,-0.20686843059079374,-0.16065573770491803,-0.09090909090909094,Texas,United States,0.005849423054952588,0.005483834114018051,0.058266112040274765,0.14620441822543961
04,2019,56117,288,316,2019-04,0.0,0.0,0.0,Texas,United States,0.005631092182404619,0.005132134647254843,0.0,0.0
04,2020,28227,217,238,2020-04,-0.49699734483311653,-0.24683544303797467,-0.2465277777777778,Texas,United States,0.00843164346193361,0.007687674921174762,0.4973371397257227,0.49794879705404194
05,2019,55967,277,298,2019-05,0.0,0.0,0.0,Texas,United States,0.00532456626226169,0.00494934514982043,0.0,0.0
05,2020,21527,115,124,2020-05,-0.6153626244036665,-0.5838926174496644,-0.5848375451263538,Texas,United States,0.005760208110744646,0.005342128489803502,0.08181734004713292,0.07936066855174229
06,2019,51697,277,304,2019-06,0.0,0.0,0.0,Texas,United States,0.0058804185929551035,0.005358144573186065,0.0,0.0
07,2019,50274,290,318,2019-07,0.0,0.0,0.0,Texas,United States,0.006325337152404822,0.005768389227035844,0.0,0.0
08,2019,55201,279,310,2019-08,0.0,0.0,0.0,Texas,United States,0.00561584029274832,0.005054256263473488,0.0,0.0
09,2019,54035,289,311,2019-09,0.0,0.0,0.0,Texas,United States,0.005755528823910429,0.005348385305820302,0.0,0.0
10,2019,59370,294,316,2019-10,0.0,0.0,0.0,Texas,United States,0.005322553478187637,0.00495199595755432,0.0,0.0
11,2019,55712,291,325,2019-11,0.0,0.0,0.0,Texas,United States,0.005833572659391155,0.005223291211947157,0.0,0.0
12,2019,55701,314,339,2019-12,0.0,0.0,0.0,Texas,United States,0.006086066677438466,0.00563724170122619,0.0,0.0
