Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,1724,2,,2019-01,0.0,,0.0,Vermont,United States,,0.001160092807424594,,0.0
1,2020,1384,3,,2020-01,-0.19721577726218098,,0.5,Vermont,United States,,0.002167630057803468,,0.8684971098265895
2,2019,1088,0,,2019-02,0.0,,,Vermont,United States,,0.0,,
2,2020,1240,1,,2020-02,0.13970588235294112,,inf,Vermont,United States,,0.0008064516129032258,,inf
3,2019,1095,2,,2019-03,0.0,,0.0,Vermont,United States,,0.0018264840182648401,,0.0
3,2020,634,2,,2020-03,-0.42100456621004567,,0.0,Vermont,United States,,0.0031545741324921135,,0.7271293375394321
4,2019,831,1,,2019-04,0.0,,0.0,Vermont,United States,,0.0012033694344163659,,0.0
4,2020,315,1,,2020-04,-0.6209386281588447,,0.0,Vermont,United States,,0.0031746031746031746,,1.638095238095238
5,2019,894,2,,2019-05,0.0,,0.0,Vermont,United States,,0.0022371364653243847,,0.0
5,2020,278,1,,2020-05,-0.6890380313199105,,-0.5,Vermont,United States,,0.0035971223021582736,,0.6079136690647484
6,2019,1014,4,,2019-06,0.0,,0.0,Vermont,United States,,0.0039447731755424065,,0.0
7,2019,1081,2,,2019-07,0.0,,0.0,Vermont,United States,,0.0018501387604070306,,0.0
8,2019,1071,7,,2019-08,0.0,,0.0,Vermont,United States,,0.006535947712418301,,0.0
9,2019,966,4,,2019-09,0.0,,0.0,Vermont,United States,,0.004140786749482402,,0.0
10,2019,1007,9,,2019-10,0.0,,0.0,Vermont,United States,,0.00893743793445879,,0.0
11,2019,1278,4,,2019-11,0.0,,0.0,Vermont,United States,,0.003129890453834116,,0.0
12,2019,893,7,,2019-12,0.0,,0.0,Vermont,United States,,0.007838745800671893,,0.0
