Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,9891,66,,2019-01,0.0,,0.0,Virginia,United States,,0.006672732787382469,,0.0
1,2020,9871,71,,2020-01,-0.002022040238600753,,0.07575757575757569,Virginia,United States,,0.007192786951676629,,0.07793720816717475
2,2019,9295,58,,2019-02,0.0,,0.0,Virginia,United States,,0.006239913932221624,,0.0
2,2020,9181,61,,2020-02,-0.012264658418504548,,0.051724137931034475,Virginia,United States,,0.006644156409977127,,0.06478334190926538
3,2019,10200,60,,2019-03,0.0,,0.0,Virginia,United States,,0.0058823529411764705,,0.0
3,2020,7317,58,,2020-03,-0.28264705882352936,,-0.033333333333333326,Virginia,United States,,0.007926745934126008,,0.3475468088014213
4,2019,10138,61,,2019-04,0.0,,0.0,Virginia,United States,,0.006016965870980469,,0.0
4,2020,5218,52,,2020-04,-0.4853028210692444,,-0.14754098360655743,Virginia,United States,,0.009965504024530471,,0.6562340950932775
5,2019,11178,74,,2019-05,0.0,,0.0,Virginia,United States,,0.006620146716765074,,0.0
5,2020,4182,44,,2020-05,-0.6258722490606549,,-0.4054054054054054,Virginia,United States,,0.010521281683405069,,0.5892822521229981
6,2019,10590,68,,2019-06,0.0,,0.0,Virginia,United States,,0.006421152030217186,,0.0
7,2019,10305,62,,2019-07,0.0,,0.0,Virginia,United States,,0.00601649684619117,,0.0
8,2019,10495,72,,2019-08,0.0,,0.0,Virginia,United States,,0.006860409718913768,,0.0
9,2019,9770,83,,2019-09,0.0,,0.0,Virginia,United States,,0.00849539406345957,,0.0
10,2019,12568,86,,2019-10,0.0,,0.0,Virginia,United States,,0.0068427753023551875,,0.0
11,2019,12142,71,,2019-11,0.0,,0.0,Virginia,United States,,0.005847471586229616,,0.0
12,2019,11600,66,,2019-12,0.0,,0.0,Virginia,United States,,0.005689655172413793,,0.0
