Month,Year,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
1,2019,9891,66,,2019-01,0.0,,0.0,Virginia,United States,,0.006672732787382469,,0.0
1,2020,9867,71,,2020-01,-0.0024264482863208814,,0.07575757575757569,Virginia,United States,,0.007195702847876761,,0.07837419497498543
2,2019,9295,58,,2019-02,0.0,,0.0,Virginia,United States,,0.006239913932221624,,0.0
2,2020,9179,61,,2020-02,-0.012479827864443238,,0.051724137931034475,Virginia,United States,,0.0066456040963067875,,0.06501534612364823
3,2019,10200,60,,2019-03,0.0,,0.0,Virginia,United States,,0.0058823529411764705,,0.0
3,2020,7306,57,,2020-03,-0.2837254901960784,,-0.050000000000000044,Virginia,United States,,0.007801806734191076,,0.3263071448124828
4,2019,10138,61,,2019-04,0.0,,0.0,Virginia,United States,,0.006016965870980469,,0.0
4,2020,5202,52,,2020-04,-0.4868810416255672,,-0.14754098360655743,Virginia,United States,,0.009996155324875048,,0.6613282407144794
5,2019,11178,74,,2019-05,0.0,,0.0,Virginia,United States,,0.006620146716765074,,0.0
6,2019,10590,68,,2019-06,0.0,,0.0,Virginia,United States,,0.006421152030217186,,0.0
7,2019,10305,62,,2019-07,0.0,,0.0,Virginia,United States,,0.00601649684619117,,0.0
8,2019,10495,72,,2019-08,0.0,,0.0,Virginia,United States,,0.006860409718913768,,0.0
9,2019,9770,83,,2019-09,0.0,,0.0,Virginia,United States,,0.00849539406345957,,0.0
10,2019,12568,86,,2019-10,0.0,,0.0,Virginia,United States,,0.0068427753023551875,,0.0
11,2019,12142,71,,2019-11,0.0,,0.0,Virginia,United States,,0.005847471586229616,,0.0
12,2019,11600,66,,2019-12,0.0,,0.0,Virginia,United States,,0.005689655172413793,,0.0
